"order_delivery_no","order_id","invoice_type"
"CK21062904924","1408610487630159874","1"
"CK21072802411","1408610488624209922","2"
"CK21062902546","1408610488624209922","2"
"CK21080201482","1408610488804564994","2"
"CK21062805716","1408610488804564994","2"
"CK21080201599","1408610488819986433","2"
"CK21062805619","1408610488819986433","2"
"CK21062807856","1408610488836169730","2"
"CK21080200638","1408610488859090945","2"
"CK21062806362","1408610488859090945","2"
"CK21062808397","1408610488983044097","2"
"CK21062803331","1408610489028165633","2"
"CK21080200647","1408610489058467841","2"
"CK21062806356","1408610489058467841","2"
"CK21072804323","1408610489078497281","2"
"CK21062809594","1408610489078497281","2"
"CK21080201348","1408610489155899394","2"
"CK21062805832","1408610489155899394","2"
"CK21080202727","1408610489271435266","2"
"CK21062804680","1408610489271435266","2"
"CK21062806881","1408610489312075777","2"
"CK21080202689","1408610489314914305","2"
"CK21062804710","1408610489314914305","2"
"CK21062807313","1408610489406668803","2"
"CK21072804643","1408610489477021698","1"
"CK21062809348","1408610489477021698","1"
"CK21072804200","1408610489676980226","2"
"CK21062809695","1408610489676980226","2"
"CK21080200982","1408610489763704835","2"
"CK21062905820","1408610489763704835","2"
"CK21080200315","1408610490031546369","2"
"CK21063000348","1408610490031546369","2"
"CK21072805102","1408610490040008705","5"
"CK21062809012","1408610490040008705","5"
"CK21080201082","1408610490139721729","2"
"CK21062806041","1408610490139721729","2"
"CK21080202247","1408610491206914050","5"
"CK21062805054","1408610491206914050","5"
"CK21080202246","1408610491244089345","5"
"CK21062805053","1408610491244089345","5"
"CK21062808419","1408610491273449474","2"
"CK21062809873","1408610491650936834","1"
"CK21072804293","1408610491839365121","2"
"CK21062809622","1408610491839365121","2"
"CK21080202653","1408610491898605570","1"
"CK21062804739","1408610491898605570","1"
"CK21080200575","1408610491987054594","2"
"CK21062806411","1408610491987054594","2"
"CK21080200318","1408610492176785409","2"
"CK21063000346","1408610492176785409","2"
"CK21072806627","1408610492816953345","2"
"CK21063002557","1408610492816953345","2"
"CK21080200313","1408610493460242433","5"
"CK21062806610","1408610493460242433","5"
"CK21072806361","1408610493525995522","2"
"CK21063002979","1408610493525995522","2"
"CK21062905973","1408610493840568321","1"
"CK21062806890","1408610494290714630","2"
"CK21080200361","1408610494370406401","2"
"CK21063000327","1408610494370406401","2"
"CK21072806551","1408610494511656962","2"
"CK21063006114","1408610494511656962","2"
"CK21080201332","1408610495014453249","2"
"CK21062805845","1408610495014453249","2"
"CK21080201726","1408610495018962946","2"
"CK21062805511","1408610495018962946","2"
"CK21080201453","1408610495026962434","2"
"CK21062805745","1408610495026962434","2"
"CK21080201572","1408610495027556353","2"
"CK21062805644","1408610495027556353","2"
"CK21080201592","1408610495039545346","2"
"CK21062805624","1408610495039545346","2"
"CK21080200037","1408610495047057410","2"
"CK21062806848","1408610495047057410","2"
"CK21080201803","1408610495052128258","2"
"CK21062805440","1408610495052128258","2"
"CK21080201180","1408610495065305090","2"
"CK21062805967","1408610495065305090","2"
"CK21080201172","1408610495070855169","2"
"CK21062805975","1408610495070855169","2"
"CK21080200969","1408610495077683202","2"
"CK21062806119","1408610495077683202","2"
"CK21080202241","1408610495107616770","2"
"CK21062805059","1408610495107616770","2"
"CK21080202138","1408610495119310850","2"
"CK21062805150","1408610495119310850","2"
"CK21080201942","1408610495143460866","2"
"CK21062805321","1408610495143460866","2"
"CK21062803453","1408610495177957377","2"
"CK21062808433","1408610495199522817","2"
"CK21080201887","1408610495241465858","2"
"CK21062805362","1408610495241465858","2"
"CK21063002594","1408610495432933377","2"
"CK21062803161","1408610495765753857","2"
"CK21072803755","1408610496075612162","1"
"CK21062810012","1408610496075612162","1"
"CK21072806614","1408610496355614721","2"
"CK21063006074","1408610496355614721","2"
"CK21080201190","1408610496788643841","2"
"CK21062905716","1408610496788643841","2"
"CK21072802126","1408610496877039618","2"
"CK21062904580","1408610496877039618","2"
"CK21072807019","1408610497022574593","2"
"CK21063005819","1408610497022574593","2"
"CK21072801667","1408610497027719169","2"
"CK21062903169","1408610497027719169","2"
"CK21072801632","1408610497036627970","2"
"CK21062903210","1408610497036627970","2"
"CK21080201731","1408610497249067009","1"
"CK21062903698","1408610497249067009","1"
"CK21072804814","1408610497483948034","2"
"CK21062809219","1408610497483948034","2"
"CK21063001781","1408610497522962433","5"
"CK21072801645","1408610498291093505","2"
"CK21062903194","1408610498291093505","2"
"CK21062807910","1408610498793521153","2"
"CK21063001349","1408610500034961410","2"
"CK21080200012","1408610500099825666","1"
"CK21062806868","1408610500099825666","1"
"CK21072806319","1408610500295970817","2"
"CK21063003060","1408610500295970817","2"
"CK21072801638","1408610500299796482","2"
"CK21062903201","1408610500299796482","2"
"CK21063004827","1408610500338900994","2"
"CK21080200036","1408610500426981378","2"
"CK21063000475","1408610500426981378","2"
"CK21072803493","1408610500521889793","2"
"CK21062810230","1408610500521889793","2"
"CK21063001559","1408610500676763649","2"
"CK21080201208","1408610500734533634","2"
"CK21062805947","1408610500734533634","2"
"CK21080200517","1408610500979068930","2"
"CK21062806462","1408610500979068930","2"
"CK21062903659","1408610502203805698","1"
"CK21072804793","1408610502237360130","1"
"CK21062809235","1408610502237360130","1"
"CK21080203123","1408610502237933570","5"
"CK21062904736","1408610502237933570","5"
"CK21072804125","1408610502310223874","5"
"CK21062809752","1408610502310223874","5"
"CK21080203503","1408610502497017858","2"
"CK21062804045","1408610502497017858","2"
"CK21063005032","1408610502727778305","2"
"CK21080201242","1408610504740970497","2"
"CK21062805916","1408610504740970497","2"
"CK21080201370","1408610504774524930","2"
"CK21062905647","1408610504774524930","2"
"CK21072804832","1408610505202343939","1"
"CK21062809207","1408610505202343939","1"
"CK21080200984","1408610505245249537","2"
"CK21062806109","1408610505245249537","2"
"CK21072803342","1408610505266221057","1"
"CK21062810310","1408610505266221057","1"
"CK21062901844","1408610505855778818","2"
"CK21062803169","1408610505893527554","1"
"CK21062901871","1408610505901916166","2"
"CK21072804762","1408610505996029953","2"
"CK21062809255","1408610505996029953","2"
"CK21072807074","1408610506318622721","5"
"CK21063005784","1408610506318622721","5"
"CK21080200020","1408610506448441346","2"
"CK21063000480","1408610506448441346","2"
"CK21062808278","1408610506496139265","2"
"CK21080201629","1408610506610753537","2"
"CK21062805596","1408610506610753537","2"
"CK21062808003","1408610506616213505","2"
"CK21062806716","1408610506628481025","2"
"CK21080203169","1408610506746441730","2"
"CK21062804326","1408610506746441730","2"
"CK21063002518","1408610506828857346","2"
"CK21072804531","1408610506958880770","2"
"CK21063002622","1408610506958880770","2"
"CK21072805073","1408610506983981057","2"
"CK21063002294","1408610506983981057","2"
"CK21072804833","1408610507012038657","2"
"CK21062809206","1408610507012038657","2"
"CK21062806963","1408610507014356994","2"
"CK21080203205","1408610507025924098","2"
"CK21062804302","1408610507025924098","2"
"CK21080200348","1408610507067932674","2"
"CK21063000331","1408610507067932674","2"
"CK21062901421","1408610507270524930","2"
"CK21063003376","1408610507418886145","1"
"CK21072807078","1408610507541823489","2"
"CK21063005782","1408610507541823489","2"
"CK21072806657","1408610507610263553","2"
"CK21063006042","1408610507610263553","2"
"CK21072804317","1408610507958595585","2"
"CK21062904328","1408610507958595585","2"
"CK21063000222","1408610508183617539","2"
"CK21072806768","1408610508441309185","2"
"CK21062904273","1408610508441309185","2"
"CK21063004088","1408610508486873090","2"
"CK21072802662","1408610508486873092","2"
"CK21063003531","1408610508486873092","2"
"CK21063002480","1408610508598853634","2"
"CK21063001364","1408610508621664258","2"
"CK21080200865","1408610508624896002","1"
"CK21062806200","1408610508624896002","1"
"CK21072804771","1408610508645867523","2"
"CK21063002506","1408610508645867523","2"
"CK21072805017","1408610508649185283","1"
"CK21062809068","1408610508649185283","1"
"CK21062903999","1408610508774948865","2"
"CK21072801942","1408610508834611209","2"
"CK21062902905","1408610508834611209","2"
"CK21063002487","1408610508906876930","2"
"CK21072802949","1408610509085392897","2"
"CK21062904473","1408610509085392897","2"
"CK21072805004","1408610509144047618","2"
"CK21062809077","1408610509144047618","2"
"CK21080202770","1408610509223739394","2"
"CK21062804642","1408610509223739394","2"
"CK21063002318","1408610509235019778","2"
"CK21080202231","1408610509442785282","2"
"CK21062903638","1408610509442785282","2"
"CK21072801733","1408610509495066626","2"
"CK21063003943","1408610509495066626","2"
"CK21062900956","1408610509589585921","2"
"CK21080201381","1408610509622198274","2"
"CK21062805805","1408610509622198274","2"
"CK21063000230","1408610509697695745","2"
"CK21062808177","1408610509716377602","2"
"CK21080201604","1408610509744775169","2"
"CK21062805614","1408610509744775169","2"
"CK21062808287","1408610509820661762","2"
"CK21080202407","1408610509832929281","2"
"CK21062804938","1408610509832929281","2"
"CK21063001698","1408610510128406529","2"
"CK21063001666","1408610510561722370","2"
"CK21072804962","1408610510567452674","1"
"CK21062809106","1408610510567452674","1"
"CK21072804934","1408610510697476098","2"
"CK21063002378","1408610510697476098","2"
"CK21062808155","1408610510827499522","2"
"CK21080202508","1408610510833049601","2"
"CK21062804866","1408610510833049601","2"
"CK21062807444","1408610510973706245","2"
"CK21062808304","1408610511393730562","2"
"CK21072807083","1408610511488663553","5"
"CK21063005780","1408610511488663553","5"
"CK21080201885","1408610511580938241","2"
"CK21062805363","1408610511580938241","2"
"CK21062904000","1408610511813160962","1"
"CK21062803062","1408610511930601474","1"
"CK21072804788","1408610512513609730","2"
"CK21062809238","1408610512513609730","2"
"CK21062901097","1408610512534581250","2"
"CK21062807442","1408610512788963329","2"
"CK21062900886","1408610513217658882","2"
"CK21080203356","1408610513221926914","2"
"CK21062804174","1408610513221926914","2"
"CK21063003613","1408610513271242754","2"
"CK21072804664","1408610513313185794","2"
"CK21062809333","1408610513313185794","2"
"CK21062807453","1408610513380360197","2"
